"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Finland","FIN","GDP per capita (current US$)","NY.GDP.PCAP.CD","1179.35301099994","1327.427224366","1411.70239818044","1522.3192420995","1707.50393824701","1882.08685764849","2010.21345619725","2034.18904965478","1907.07727217667","2178.03525044982","2465.64481862422","2716.19009222861","3177.64570093734","4173.17304749428","5297.60781739462","6255.54464076423","6739.69071253255","7069.10573825616","7628.81571424906","9332.24526383769","11223.937563528","10926.817966566","10938.122061411","10497.479996566","10833.8662886935","11398.1059531509","14951.0467852887","18571.0599253579","22047.7933222595","23973.2394840041","28364.6450765922","25484.7392935746","22319.059460246","17608.8123902264","20301.333085866","26271.5998141691","25783.4504878611","24691.8728133698","26009.2694886182","26186.1900105755","24345.9148217032","24967.7925153182","26997.7529897788","32927.6802919408","37772.1781110398","39054.8504423825","41222.6020004611","48476.3927287052","53772.7942390019","47481.4845364339","46505.3031791811","51148.9316365833","47708.0612784469","49892.2233632732","50327.2402902632","42801.9081167285","43814.0265056965","46412.1364777169","49987.6261584968","48629.8582283032","49170.7521512441","53654.7502964259",
"Germany","DEU","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","2761.16683289339","3192.13361563743","3809.98144489456","5046.75510305815","5639.07762129679","6236.3588812986","6634.85689909309","7682.95377492882","9482.04284964716","11281.0233245081","12138.3081034267","10209.0731153846","9913.73764159395","9864.3449403866","9313.16941243118","9429.56921688214","13461.8310034147","16677.51078816","17931.2823228876","17764.376445833","22303.9613266628","23357.757725073","26438.2303888417","25522.6295733618","27076.60675014","31658.3493789135","30485.8665482279","26964.0494672673","27289.0593603191","26734.9425369252","23694.7604830673","23628.3272122367","25197.2656001848","30310.3575963774","34106.6581224001","34520.2396492496","36353.8803343631","41640.0808695147","45612.7106221441","41650.3678297162","41572.4559481507","46705.8957963353","43855.8544658618","46298.9229177341","48023.8699845462","41103.2564363768","42136.1207907991","44652.5891722719","47939.2782884504","46793.6867616004","46772.8253507545","51203.5544731043",
"United Kingdom","GBR","GDP per capita (current US$)","NY.GDP.PCAP.CD","1397.5948032844","1472.38571407868","1525.77585271032","1613.45688373392","1748.2881176141","1873.56777435421","1986.74715869685","2058.78188198056","1951.75859587532","2100.66786858672","2347.54431773747","2649.80151387223","3030.43251411977","3426.27622050378","3665.8627976419","4299.74561799284","4138.16778761535","4681.43993173038","5976.93816899991","7804.76208051155","10032.062080015","9599.30622221965","9146.07735701852","8691.51881306514","8179.19444064991","8652.21654247593","10611.112210096","13118.586534629","15987.1680775688","16239.2821960944","19095.4669984608","19900.7266505069","20487.1707852878","18389.0195675099","19709.2380983653","23202.4615775949","24440.3281377791","26781.362168176","28297.8659970584","28786.9592756835","28290.9725024578","27886.7985907797","30079.6600435049","34479.3929332278","40390.7858294925","42131.6993992712","44536.6197203512","50435.37028921","47429.9363403009","38821.1795827116","39693.1938701237","42150.6981408821","42485.5860695397","43449.0917173139","47447.5889322667","45071.0743234873","41146.0773555246","40621.334478632","43306.3083049317","42747.080460496","40318.5575660493","46510.2827819127",
